Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
27,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,24-130,1996,1,1,90,1.0,5.00,5.00,7.00,2.00,28.6,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
28,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,27-001,1994,21,21,1890,21.0,1.19,1.19,4.14,2.90,72.4,0.57,0.14,0.29,0.29,28.6,0.10,0.05,0.00,0.05,0.0,Matches
29,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,28-323,1992,27,27,2430,27.0,1.15,1.15,4.67,3.63,77.8,0.26,0.33,0.41,0.33,33.3,0.11,0.11,0.00,0.00,0.0,Matches
30,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,22-298,1998,28,28,2520,28.0,1.61,1.61,5.11,3.61,70.6,0.14,0.07,0.79,0.07,7.1,0.14,0.11,0.00,0.04,0.0,Matches
31,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,33-300,1987,2,2,180,2.0,1.00,1.00,2.50,1.50,60.0,0.50,0.00,0.50,0.50,50.0,0.00,0.00,0.00,0.00,,Matches
32,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,24-085,1996,1,1,90,1.0,3.00,3.00,5.00,2.00,40.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
33,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28-334,1992,1,1,90,1.0,1.00,1.00,8.00,7.00,87.5,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
34,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28-334,1992,11,11,990,11.0,1.73,1.73,2.73,1.45,50.0,0.18,0.36,0.45,0.18,18.2,0.36,0.36,0.00,0.00,0.0,Matches
35,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,23-110,1997,16,16,1440,16.0,1.00,1.00,3.06,2.25,71.4,0.19,0.44,0.38,0.38,37.5,0.19,0.13,0.00,0.06,0.0,Matches
36,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,34-123,1986,28,28,2520,28.0,1.14,1.14,3.75,2.61,71.4,0.57,0.18,0.25,0.32,32.1,0.07,0.07,0.00,0.00,0.0,Matches
37,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,25-340,1995,1,1,90,1.0,1.00,1.00,2.00,1.00,50.0,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches
