Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
25,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-077,1994,10,587,59,23.3,6.5,0.92,84,0.77,0.62,21,1.08,2.00,1.85,1.23,0.62,+0.61,+0.05,1.57,1.20,0.37,+0.36,+0.22,Matches
26,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-175,2000,21,1781,85,70.7,19.8,1.01,86,0.86,0.05,60,0.15,0.62,0.56,1.57,-1.01,-1.01,+0.09,0.87,1.55,-0.68,-0.68,-0.17,Matches
27,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-281,1996,22,1951,89,77.4,21.7,1.01,89,0.97,0.00,,0.00,1.14,0.78,0.83,-0.05,-0.05,+1.54,1.15,1.15,0.00,0.00,+0.77,Matches
28,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-122,2002,1,4,4,0.2,0.0,0,,0,1,4,6,0.00,0,0,0,0.00,+0.63,0.0,0.3,-0.3,-7.28,-6.82,Matches
29,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-327,1993,2,3,2,0.1,0.0,0,,0,2,2,2,0.00,0,0,0,0.00,-0.35,0.1,0.2,-0.1,-3.63,-3.87,Matches
30,Faustino Anjorin\Faustino-Anjorin,eng ENG,MF,Chelsea,19-105,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
31,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-345,1990,17,1241,73,53.0,13.8,1.09,80,0.36,0.14,23,0.00,1.82,1.67,1.23,0.43,+0.44,+0.19,1.53,0.83,0.70,+0.70,+0.99,Matches
32,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27,2430,90,96.4,27.0,1.00,90,1.00,0.00,,0.04,0.96,0.81,1.11,-0.30,-0.30,+2.70,1.15,1.27,-0.12,-0.12,+1.48,Matches
33,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-343,1992,22,1822,83,75.0,20.2,1.04,86,0.69,0.05,13,0.05,1.41,1.29,1.58,-0.30,-0.30,+0.44,0.92,1.31,-0.39,-0.39,-0.37,Matches
34,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4,360,90,14.8,4.0,1.00,90,1.00,0.00,,5.00,1.75,2.00,1.50,0.50,+0.50,-0.15,1.55,1.73,-0.17,-0.16,-0.97,Matches
35,Ryan Astley\Ryan-Astley,wal WAL,DF,Everton,19-155,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
36,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-263,1989,23,1853,81,76.3,20.6,0.97,89,0.87,0.15,23,0.05,1.35,1.17,0.97,0.19,+0.19,-0.27,1.32,1.16,0.17,+0.16,-0.20,Matches
37,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-074,1992,14,1155,83,47.5,12.8,1.09,83,0.78,0.00,,0.31,1.57,1.95,1.02,0.94,+0.94,+0.51,1.27,1.24,0.02,+0.02,-0.34,Matches
38,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-246,1989,5,138,28,5.5,1.5,0.00,,0.00,3.33,28,2.00,0.40,1.33,3.33,-2.00,-1.96,-0.71,0.40,3.27,-2.87,-2.79,-1.94,Matches
39,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-178,1991,24,1580,66,62.7,17.6,0.97,85,0.63,0.40,18,0.11,1.21,0.91,1.76,-0.85,-0.85,-0.66,0.57,1.52,-0.95,-0.96,-0.65,Matches
40,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-195,1991,26,2319,89,99.1,25.8,1.01,89,0.97,0.00,,0.00,1.35,1.67,1.71,-0.04,-0.04,-0.04,1.51,1.65,-0.14,-0.14,-3.02,Matches
