Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-181,1998,12,8,741,8.2,0.12,0.00,0.12,0.00,0.00,0.24,0.00,0.12,0.00,0.12,0.12,0.12,0.07,0.07,0.05,0.12,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-077,1994,10,6,587,6.5,0.15,0.00,0.15,0.00,0.00,0.15,0.00,0.15,0.00,0.15,0.15,0.15,0.05,0.05,0.00,0.05,0.05,0.00,0.05,0.05,0.05,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-175,2000,21,20,1781,19.8,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.07,0.02,0.05,0.06,0.02,0.06,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-281,1996,22,22,1951,21.7,0.00,0.05,0.00,0.00,0.00,0.18,0.05,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.04,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-122,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-327,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-345,1990,17,15,1241,13.8,0.51,0.22,0.51,0.00,0.00,0.14,0.00,0.51,0.22,0.73,0.51,0.73,0.59,0.59,0.09,0.69,0.59,0.10,0.69,0.59,0.69,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27,27,2430,27.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-343,1992,22,21,1822,20.2,0.15,0.20,0.15,0.00,0.00,0.15,0.00,0.15,0.20,0.35,0.15,0.35,0.08,0.08,0.10,0.18,0.08,0.10,0.18,0.08,0.18,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-263,1989,23,20,1853,20.6,0.44,0.05,0.34,0.10,0.10,0.10,0.00,0.44,0.05,0.49,0.34,0.39,0.44,0.36,0.08,0.44,0.43,0.08,0.51,0.36,0.44,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-074,1992,14,14,1155,12.8,0.16,0.08,0.16,0.00,0.00,0.00,0.00,0.16,0.08,0.23,0.16,0.23,0.08,0.08,0.12,0.20,0.08,0.12,0.20,0.08,0.20,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-246,1989,5,0,138,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-178,1991,24,17,1580,17.6,0.06,0.17,0.06,0.00,0.00,0.11,0.00,0.06,0.17,0.23,0.06,0.23,0.10,0.10,0.03,0.13,0.10,0.03,0.13,0.10,0.13,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-195,1991,26,26,2319,25.8,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.09,0.12,0.03,0.09,0.12,0.03,0.12,Matches
