Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-077,1994,6.5,50.2,59.8,83.8,947.7,285.2,16.8,18.2,92.4,27.1,31.2,86.7,5.54,8.00,69.2,0.00,0.00,0.00,0.00,2.62,0.15,0.00,3.23,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-175,2000,19.8,35.9,45.3,79.4,722.3,228.7,12.9,15.1,85.3,16.9,19.7,85.7,5.51,8.99,61.2,0.00,0.05,-0.05,0.51,3.18,0.76,0.10,3.79,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-281,1996,21.7,49.5,58.9,84.0,1229.4,364.9,9.68,10.8,89.4,26.7,28.9,92.5,12.7,18.2,69.6,0.05,0.02,0.02,0.37,3.96,0.32,0.05,3.50,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-122,2002,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-327,1993,0.0,4,6,66.7,61,28,2,2,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,2,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-345,1990,13.8,12.8,20.2,63.1,202.5,32.7,7.03,10.2,68.8,3.62,5.80,62.5,1.30,2.17,60.0,0.22,0.09,0.12,0.87,0.87,0.29,0.00,1.01,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27.0,19.2,26.7,71.9,533.6,330.3,5.44,5.44,100.0,6.56,6.59,99.4,6.78,14.2,47.7,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-343,1992,20.2,31.5,40.0,78.7,499.4,148.6,17.4,20.3,85.6,11.3,13.3,84.8,2.28,3.56,63.9,0.20,0.10,0.10,1.29,2.97,1.19,0.25,3.51,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4.0,26.5,34.5,76.8,768.3,409.3,6.00,6.25,96.0,10.8,10.8,100.0,9.75,17.5,55.7,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-263,1989,20.6,20.1,26.6,75.5,307.9,60.6,11.2,13.6,82.1,6.99,9.17,76.2,1.21,2.14,56.8,0.05,0.08,-0.03,0.78,0.68,1.21,0.44,2.09,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-074,1992,12.8,39.9,51.3,77.9,633.8,265.2,21.3,23.7,89.8,15.2,20.2,74.9,2.66,5.16,51.5,0.08,0.12,-0.04,0.70,1.09,1.33,0.47,3.20,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-246,1989,1.5,16.0,22.0,72.7,242.0,82.7,7.33,8.67,84.6,8.00,10.7,75.0,0.67,1.33,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-178,1991,17.6,21.2,26.4,80.2,298.2,55.1,13.2,15.2,86.9,6.08,7.56,80.5,0.91,1.59,57.1,0.17,0.03,0.14,0.57,0.57,0.68,0.11,1.76,Matches
