Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-070,1990,6.8,75.3,3.53,22.8,33.1,25.6,3.68,66.5,0.74,1.47,50.0,0.74,0.00,44.9,236.5,148.2,6.47,2.35,0.44,0.59,1.62,54.1,47.5,87.8,3.97,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-181,1998,8.2,52.9,2.07,11.7,27.4,16.7,1.95,51.6,0.85,1.46,58.3,0.98,0.00,38.2,183.8,90.5,4.39,1.22,0.49,1.22,1.59,43.2,38.3,88.7,2.44,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-077,1994,6.5,71.2,9.08,37.2,33.4,4.46,0.77,67.2,0.15,0.46,33.3,0.15,0.00,43.1,168.6,91.2,1.38,0.46,0.00,0.31,0.62,45.7,43.7,95.6,0.15,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-175,2000,19.8,57.7,5.91,21.9,29.4,10.2,0.40,54.3,0.40,0.56,72.7,0.40,0.00,30.3,185.1,108.3,4.19,1.52,0.00,0.71,0.30,33.2,31.9,96.2,0.45,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-281,1996,21.7,70.8,11.5,41.3,30.8,3.09,0.65,68.7,0.18,0.18,100.0,0.18,0.00,41.0,251.1,132.4,2.03,0.37,0.00,0.18,0.18,45.9,44.9,97.7,0.14,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-122,2002,0.0,2,0,0,1,1,1,2,0,0,,0,0,1,4,1,0,0,0,0,0,3,1,33.3,1,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-327,1993,0.0,7,0,0,5,3,1,7,0,0,,0,0,6,68,50,2,1,0,0,0,7,6,85.7,0,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-345,1990,13.8,35.7,0.58,1.74,15.6,20.9,5.72,34.6,2.10,3.41,61.7,2.32,0.00,24.7,114.1,70.0,4.13,1.38,1.09,3.77,2.75,53.2,27.5,51.8,8.91,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27.0,29.8,26.7,29.7,0.11,0.00,0.00,20.3,0.00,0.00,,0.00,0.00,12.0,57.8,28.5,0.00,0.00,0.00,0.04,0.00,10.5,10.4,99.3,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-343,1992,20.2,53.4,1.24,8.32,31.9,18.7,2.18,51.0,1.83,3.27,56.1,1.83,0.00,35.9,223.7,132.4,6.19,2.57,0.45,1.98,2.08,44.9,36.4,81.1,4.21,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4.0,37.8,37.0,37.8,0.25,0.00,0.00,28.8,0.00,0.00,,0.00,0.00,19.0,73.3,37.0,0.00,0.00,0.00,0.50,0.00,19.5,19.5,100.0,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-263,1989,20.6,35.0,0.78,4.47,14.5,18.5,5.15,34.1,0.49,1.02,47.6,0.53,0.00,23.9,142.3,86.7,4.37,1.46,1.17,1.26,0.87,47.4,27.5,57.9,7.14,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-074,1992,12.8,65.5,4.69,22.9,27.9,17.2,1.41,56.5,0.78,1.64,47.6,0.86,0.00,35.8,124.5,68.9,3.28,1.02,0.16,0.78,1.02,41.4,37.0,89.2,2.34,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-246,1989,1.5,38.0,3.33,6.00,14.7,18.7,2.00,36.7,1.33,2.67,50.0,1.33,0.00,23.3,83.3,44.7,1.33,0.00,0.67,4.00,2.67,59.3,26.0,43.8,4.00,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-178,1991,17.6,42.3,0.68,5.97,22.4,18.0,2.84,41.5,1.76,3.64,48.4,1.99,0.11,31.6,184.2,99.1,3.81,1.82,0.68,2.73,3.35,52.3,30.2,57.8,5.00,Matches
