Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
21,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,28-187,1992,26.0,1.04,0.08,0.08,0.08,0.00,1.33,0.28,0.30,+0.30,8.00,19.9,40.2,27.6,3.92,54.3,42.7,6.69,74.1,54.9,10.1,0.92,9.1,0.54,0.54,0.54,Matches
22,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,31-095,1989,24.0,1.79,0.21,0.04,0.08,0.04,1.54,0.32,-0.21,-0.21,4.88,17.5,27.9,30.3,4.04,45.9,37.0,5.29,67.7,49.0,7.96,0.75,9.4,0.75,0.75,0.65,Matches
23,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,29-007,1992,22.0,0.73,0.09,0.05,0.14,0.05,0.67,0.25,-0.01,-0.01,4.95,9.68,51.2,27.8,3.77,26.7,29.6,5.91,38.5,34.4,7.18,0.50,7.0,0.77,0.77,0.72,Matches
24,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,21-006,2000,25.0,1.72,0.28,0.04,0.36,0.08,1.70,0.28,0.06,+0.06,4.84,10.2,47.5,31.3,7.52,25.2,28.9,7.04,33.0,31.1,5.24,0.40,7.6,0.68,0.68,0.56,Matches
25,Robin Olsen\Robin-Olsen,se SWE,GK,Everton,31-059,1990,5.0,1.60,0.20,0.00,0.00,0.00,1.54,0.35,-0.06,-0.06,7.40,15.0,49.3,21.4,2.00,51.4,42.0,6.40,62.5,48.6,8.20,0.20,2.4,0.20,0.20,2.18,Matches
26,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,33-021,1988,28.0,1.32,0.21,0.04,0.21,0.11,1.11,0.26,-0.11,-0.11,6.07,13.1,46.2,14.7,3.07,56.8,41.9,7.07,67.7,46.2,10.0,0.68,6.8,0.18,0.18,0.42,Matches
27,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,24-130,1996,1.0,5.00,0.00,0.00,0.00,0.00,4.40,0.62,-0.60,-0.65,11.0,28.0,39.3,23.0,1.00,87.0,55.5,9.00,88.9,64.9,9.00,0.00,0.0,0.00,0.00,8.50,Matches
28,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,27-001,1994,21.0,1.19,0.05,0.05,0.24,0.00,1.09,0.26,-0.10,-0.10,8.86,21.1,42.0,29.8,4.29,54.6,44.4,7.00,69.4,55.9,9.29,0.76,8.2,0.52,0.52,0.66,Matches
29,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,28-323,1992,27.0,1.15,0.11,0.00,0.22,0.04,1.32,0.26,0.21,+0.21,9.22,23.5,39.3,22.8,4.04,74.5,52.7,7.59,85.9,61.6,9.59,1.19,12.4,1.22,1.22,0.60,Matches
30,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,22-298,1998,28.0,1.61,0.11,0.00,0.29,0.04,1.57,0.29,-0.00,0.00,7.82,23.4,33.5,22.1,2.61,75.0,55.1,7.04,95.9,72.2,9.61,0.96,10.0,0.57,0.57,0.55,Matches
31,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,33-300,1987,2.0,1.00,0.00,0.00,1.00,0.00,0.70,0.29,-0.30,-0.28,4.50,12.5,36.0,15.0,1.00,66.7,47.8,5.50,45.5,36.7,8.00,0.00,0.0,0.50,0.50,6.65,Matches
32,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,24-085,1996,1.0,3.00,0.00,0.00,1.00,0.00,2.50,0.61,-0.50,-0.55,6.00,12.0,50.0,22.0,3.00,40.9,35.8,4.00,75.0,56.0,9.00,0.00,0.0,1.00,1.00,11.8,Matches
33,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28-334,1992,1.0,1.00,0.00,0.00,0.00,0.00,2.80,0.35,1.80,+1.76,2.00,2.00,100.0,14.0,5.00,7.1,28.4,3.00,33.3,38.0,4.00,0.00,0.0,0.00,0.00,15.3,Matches
34,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28-334,1992,11.0,1.73,0.36,0.00,0.27,0.09,1.35,0.37,-0.29,-0.29,5.18,12.8,40.4,31.0,5.09,33.4,32.5,5.27,46.6,40.2,9.36,0.64,6.8,0.55,0.55,1.31,Matches
35,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,23-110,1997,16.0,1.00,0.13,0.00,0.31,0.06,1.09,0.32,0.16,+0.16,6.50,17.7,36.7,30.7,4.75,44.4,39.6,7.00,58.0,46.7,7.38,0.44,5.9,0.63,0.63,0.94,Matches
36,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,34-123,1986,28.0,1.14,0.07,0.00,0.21,0.04,1.30,0.34,0.19,+0.19,6.43,14.9,43.2,26.9,4.46,43.8,38.8,6.07,51.2,42.9,8.14,0.75,9.2,0.36,0.36,0.46,Matches
37,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,25-340,1995,1.0,1.00,0.00,0.00,0.00,0.00,0.60,0.32,-0.40,-0.37,2.00,6.00,33.3,20.0,4.00,25.0,31.1,8.00,12.5,20.5,10.0,0.00,0.0,0.00,0.00,7.00,Matches
