Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-327,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-345,1990,13.8,2.90,2.90,1.38,0.07,0.22,0.43,0.80,0.00,0.58,0.58,0.29,0.07,0.00,0.07,0.14,0.00,0.00,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-343,1992,20.2,2.72,2.72,1.88,0.10,0.30,0.10,0.20,0.15,0.50,0.49,0.30,0.00,0.10,0.00,0.05,0.05,0.00,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-156,1994,4.0,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-263,1989,20.6,1.80,1.80,1.36,0.00,0.19,0.10,0.15,0.00,0.29,0.29,0.24,0.00,0.05,0.00,0.00,0.00,0.00,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-074,1992,12.8,1.72,1.71,1.25,0.00,0.16,0.16,0.08,0.08,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-246,1989,1.5,0.67,0.65,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-178,1991,17.6,1.59,1.59,1.08,0.00,0.11,0.06,0.28,0.06,0.40,0.40,0.28,0.00,0.00,0.06,0.06,0.00,0.00,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-195,1991,25.8,1.47,1.47,1.20,0.08,0.08,0.04,0.08,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-192,1989,15.6,1.73,1.73,1.67,0.00,0.00,0.00,0.00,0.06,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-330,1994,7.1,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-197,1991,12.0,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-364,1993,22.5,1.07,1.07,0.84,0.00,0.04,0.13,0.00,0.04,0.09,0.09,0.04,0.00,0.00,0.04,0.00,0.00,0.00,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-235,1989,5.6,4.64,4.68,2.32,0.89,1.07,0.18,0.18,0.00,0.54,0.54,0.36,0.18,0.00,0.00,0.00,0.00,0.00,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-184,1993,24.8,1.61,1.61,1.05,0.00,0.20,0.12,0.16,0.08,0.52,0.52,0.28,0.00,0.08,0.04,0.12,0.00,0.00,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-253,1985,3.0,1.00,0.99,0.33,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-093,1993,12.4,4.52,4.50,2.66,1.21,0.56,0.08,0.00,0.00,0.32,0.32,0.24,0.08,0.00,0.00,0.00,0.00,0.00,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-093,1993,0.5,6.00,6.43,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-129,1989,14.4,2.43,2.44,1.74,0.00,0.00,0.35,0.28,0.07,0.14,0.14,0.00,0.00,0.00,0.07,0.07,0.00,0.00,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-089,1997,21.6,3.15,3.15,2.04,0.00,0.37,0.32,0.37,0.05,0.37,0.37,0.23,0.00,0.09,0.00,0.05,0.00,0.00,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-290,1991,18.8,0.37,0.37,0.27,0.00,0.00,0.11,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-231,1988,22.6,0.66,0.66,0.58,0.00,0.04,0.00,0.04,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
