Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-070,1990,6.8,61.6,53.1,8.53,1.18,0.00,8.68,0.44,0.74,0.29,0.00,0.29,0.00,41.0,11.2,9.41,45.3,5.88,2.06,7.06,0.15,51.2,0.29,0.59,1.03,2.79,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-181,1998,8.2,42.8,41.3,1.46,0.24,0.00,7.93,1.10,0.24,0.12,0.12,0.00,0.00,35.0,4.39,3.41,3.29,36.5,1.46,0.98,0.12,37.6,0.00,0.37,0.61,0.98,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-077,1994,6.5,59.8,55.8,4.00,0.00,0.00,6.00,0.62,0.00,0.00,0.00,0.00,0.00,41.8,8.15,9.85,4.62,45.8,3.08,4.00,0.31,50.2,0.15,0.00,0.92,1.54,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-175,2000,19.8,45.3,41.7,3.54,0.71,0.15,5.40,1.67,0.45,0.25,0.25,0.00,0.00,29.0,5.61,10.7,6.97,30.4,3.18,2.58,0.25,35.9,0.05,1.16,0.66,0.81,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-281,1996,21.7,58.9,56.7,2.17,1.71,0.05,4.98,3.18,0.14,0.00,0.00,0.00,0.00,39.7,5.58,13.6,5.67,46.5,3.87,0.46,0.28,49.5,0.23,1.38,0.55,0.74,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-122,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-327,1993,0.0,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,0,0,1,4,0,0,1,0,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-345,1990,13.8,20.2,19.1,1.16,0.07,0.00,5.94,0.58,1.23,0.00,0.00,0.00,0.00,10.2,5.94,4.06,3.04,12.4,1.38,0.58,0.65,12.8,0.00,0.51,0.65,1.30,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-009,1993,27.0,26.7,17.1,9.52,2.67,0.00,1.11,0.41,0.00,0.00,0.00,0.00,0.00,13.7,1.04,11.9,1.70,19.3,0.00,0.00,4.26,19.2,0.07,0.56,0.11,0.04,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-343,1992,20.2,40.0,37.7,2.38,0.15,0.20,7.97,0.30,0.84,0.05,0.00,0.00,0.00,30.2,6.34,3.51,7.43,30.3,1.39,0.54,0.15,31.5,0.05,0.30,1.44,2.33,Matches
